,"perplexity: 10, early_exaggeration: 4.0, learning_rate: 250, metric: correlation, init: pca", , 
,tSNE 1,tSNE 2,HDBSCAN label
N357Barcode_715-508,-6.438647747039795,-62.221763610839844,1.0
N357Barcode_714-510,14.69534683227539,-18.862213134765625,27.0
N357Barcode_705-517,24.67371940612793,-11.691632270812988,26.0
N357Barcode_724-508,-30.203290939331055,0.7268375754356384,13.0
N357Barcode_727-513,-21.606491088867188,19.277624130249023,14.0
N357Barcode_724-502,-66.5774917602539,5.705284118652344,3.0
N357Barcode_706-506,-18.965072631835938,15.577610969543457,14.0
N357Barcode_723-502,-21.683549880981445,18.657718658447266,14.0
N357Barcode_729-521,-35.45920944213867,5.414863109588623,13.0
N357Barcode_702-517,-33.14558410644531,47.289215087890625,9.0
N357Barcode_718-511,-10.213237762451172,-35.75282287597656,22.0
N357Barcode_720-513,31.834503173828125,1.6866440773010254,23.0
N357Barcode_727-521,-66.04017639160156,5.28248929977417,3.0
N357Barcode_714-522,-25.70647430419922,-28.81597900390625,10.0
N357Barcode_704-507,15.182031631469727,12.403911590576172,7.0
N357Barcode_707-516,-66.84034729003906,-0.4559602439403534,3.0
N357Barcode_716-511,-30.604494094848633,45.984947204589844,9.0
N357Barcode_711-511,-24.138959884643555,-27.725305557250977,10.0
N357Barcode_720-521,-55.23867416381836,-17.82046890258789,2.0
N357Barcode_724-511,17.650461196899414,16.119365692138672,7.0
N357Barcode_706-515,-36.0093994140625,44.988128662109375,9.0
N357Barcode_726-522,44.97421646118164,32.56950378417969,8.0
N357Barcode_712-521,-60.47412872314453,-22.002849578857422,2.0
N357Barcode_718-502,31.75045394897461,45.76542663574219,5.0
N357Barcode_710-518,45.342098236083984,38.6422119140625,8.0
N357Barcode_718-508,-3.5820279121398926,-7.639742851257324,19.0
N357Barcode_716-502,-52.90789794921875,-24.04168701171875,2.0
N357Barcode_726-510,37.230247497558594,31.874061584472656,8.0
N357Barcode_715-513,43.60293960571289,-2.718510150909424,6.0
N357Barcode_721-510,-65.0525894165039,6.372445583343506,3.0
N357Barcode_712-513,37.068580627441406,33.428627014160156,8.0
N357Barcode_719-518,29.772777557373047,35.30423355102539,-1.0
N357Barcode_728-522,-6.206674575805664,-34.29803466796875,22.0
N357Barcode_721-517,-0.25366976857185364,-11.714425086975098,-1.0
N357Barcode_719-515,-60.22874069213867,4.1465864181518555,3.0
N357Barcode_703-513,-65.45207977294922,3.8004062175750732,3.0
N357Barcode_701-520,-26.005504608154297,-25.240570068359375,10.0
N357Barcode_711-505,-55.43757247924805,-20.041160583496094,2.0
N357Barcode_729-507,-3.3149828910827637,-8.453981399536133,19.0
N357Barcode_722-506,32.94538879394531,47.55699157714844,5.0
N357Barcode_706-520,-25.84567642211914,42.23435974121094,9.0
N357Barcode_716-505,14.883648872375488,-21.969711303710938,29.0
N357Barcode_707-502,14.85919189453125,12.537264823913574,7.0
N357Barcode_726-517,-9.635601043701172,-60.66353225708008,1.0
N357Barcode_704-513,-23.824562072753906,18.852346420288086,14.0
N357Barcode_720-507,37.10031509399414,-39.47663116455078,16.0
N357Barcode_718-505,36.94417190551758,-41.9677848815918,16.0
N357Barcode_701-518,40.740631103515625,-38.608394622802734,16.0
N357Barcode_703-521,36.32791519165039,48.375831604003906,5.0
N357Barcode_710-515,42.374603271484375,36.00428771972656,8.0
N357Barcode_728-517,-18.871673583984375,16.279003143310547,14.0
N357Barcode_723-516,-7.975536823272705,-36.58586883544922,22.0
N357Barcode_724-516,-16.02558135986328,-60.15190505981445,1.0
N357Barcode_706-518,15.465679168701172,-17.9053897857666,27.0
N357Barcode_727-507,38.84965896606445,40.44987487792969,8.0
N357Barcode_722-515,5.521258354187012,17.993938446044922,12.0
N357Barcode_711-516,-58.84280014038086,-22.799922943115234,2.0
N357Barcode_712-507,11.374744415283203,-25.69210433959961,28.0
N357Barcode_702-522,-67.03462982177734,2.8648924827575684,3.0
N357Barcode_719-506,-26.628734588623047,44.901519775390625,9.0
N357Barcode_705-522,47.384925842285156,-3.465303659439087,6.0
N357Barcode_707-511,-30.404752731323242,47.232398986816406,9.0
N357Barcode_716-516,39.3288688659668,38.197513580322266,8.0
N357Barcode_723-505,38.27991485595703,34.91923141479492,8.0
N357Barcode_702-510,-7.291475296020508,-35.770965576171875,22.0
N357Barcode_714-517,-63.285011291503906,4.865609169006348,3.0
N357Barcode_724-505,-0.43762046098709106,-3.72906494140625,18.0
N357Barcode_720-510,49.31291961669922,36.61031723022461,8.0
N357Barcode_710-508,44.987579345703125,40.377159118652344,8.0
N357Barcode_710-502,39.794952392578125,-40.93330383300781,16.0
N357Barcode_701-505,-57.0521125793457,-22.555591583251953,2.0
N357Barcode_718-518,-22.081693649291992,17.645599365234375,14.0
N357Barcode_711-520,-25.621646881103516,48.926788330078125,9.0
N357Barcode_706-505,34.576881408691406,-40.538429260253906,16.0
N357Barcode_716-520,-18.86427116394043,16.3476505279541,14.0
N357Barcode_727-510,35.851844787597656,-18.273103713989258,17.0
N357Barcode_711-518,-28.650835037231445,41.69991683959961,9.0
N357Barcode_718-520,1.4943724870681763,19.939794540405273,12.0
N357Barcode_720-522,17.61900520324707,14.468870162963867,7.0
N357Barcode_729-510,40.183284759521484,40.88002395629883,8.0
N357Barcode_722-511,-20.877897262573242,12.708611488342285,14.0
N357Barcode_719-508,18.713977813720703,14.279834747314453,7.0
N357Barcode_707-515,46.709571838378906,-2.6549832820892334,6.0
N357Barcode_714-521,-55.215110778808594,-16.4521541595459,2.0
N357Barcode_716-518,-30.983823776245117,4.014461040496826,13.0
N357Barcode_715-503,40.73311996459961,34.15110778808594,8.0
N357Barcode_701-516,44.980865478515625,-1.5002834796905518,6.0
N357Barcode_710-511,-3.9457759857177734,-9.430368423461914,19.0
N357Barcode_721-521,-37.2840690612793,43.1205940246582,9.0
N357Barcode_720-503,-0.5762849450111389,-5.526514530181885,18.0
N357Barcode_712-522,-33.58353805541992,52.387367248535156,9.0
N357Barcode_723-518,-12.51639461517334,-64.2257308959961,1.0
N357Barcode_702-507,-7.472177505493164,-36.138423919677734,22.0
N357Barcode_727-503,-23.222312927246094,-28.82624053955078,10.0
N357Barcode_705-507,-63.850467681884766,2.378465414047241,3.0
N357Barcode_724-518,24.68279457092285,39.577781677246094,21.0
N357Barcode_706-516,-19.38922691345215,13.03144645690918,14.0
N357Barcode_728-521,-21.178356170654297,16.36908531188965,14.0
N357Barcode_722-502,16.752939224243164,13.097993850708008,7.0
